node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
ieou2,Type3dot1,"Asia,HK,HongKong",hk4,14-06-2025,unassigned,,,,,,,0.0002,1.0000,0.0000,544402.8185,544402.8185
ieou2,Type3dot1,"Asia,HK,HongKong",hk4,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,544402.8185,544402.8185
ieou2,Type3dot1,"Asia,HK,HongKong",hk4,16-06-2025,unassigned,,,,,,,0.0030,1.0000,0.0000,544402.8185,544402.8185
ieou2,Type3dot1,"Asia,HK,HongKong",hk4,17-06-2025,unassigned,,,,,,,0.0006,1.0000,0.0000,544402.8185,544402.8185
ieou2,Type3dot1,"Asia,HK,HongKong",hk4,18-06-2025,unassigned,,,,,,,0.0009,1.0000,0.0000,544402.8185,544402.8185
ieou2,Type3dot1,"Asia,HK,HongKong",hk4,19-06-2025,unassigned,,,,,,,0.0011,1.0000,0.0000,544402.8185,544402.8185
ieou2,Type3dot1,"Asia,HK,HongKong",hk4,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,544402.8185,544402.8185
ieou2,Type3dot1,"Asia,HK,HongKong",hk4,21-06-2025,unassigned,,,,,,,0.0002,1.0000,0.0000,544402.8185,544402.8185
ieou2,Type3dot1,"Asia,HK,HongKong",hk4,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,544402.8185,544402.8185
ieou2,Type3dot1,"Asia,HK,HongKong",hk4,23-06-2025,unassigned,,,,,,,0.0003,1.0000,0.0000,544402.8185,544402.8185
ieou2,Type3dot1,"Asia,HK,HongKong",hk4,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,544402.8185,544402.8185
ieou2,Type3dot1,"Asia,HK,HongKong",hk4,25-06-2025,unassigned,,,,,,,0.0005,1.0000,0.0000,544402.8185,544402.8185
ieou2,Type3dot1,"Asia,HK,HongKong",hk4,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,544402.8185,544402.8185
ieou2,Type3dot1,"Asia,HK,HongKong",hk4,27-06-2025,unassigned,,,,,,,0.0004,1.0000,0.0000,544402.8185,544402.8185
ieou2,Type3dot1,"Asia,HK,HongKong",hk4,28-06-2025,unassigned,,,,,,,0.0001,1.0000,0.0000,544402.8185,544402.8185
ieou2,Type3dot1,"Asia,HK,HongKong",hk4,29-06-2025,unassigned,,,,,,,0.0003,1.0000,0.0000,544402.8185,544402.8185
