day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-15,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-16,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-17,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-18,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-19,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-20,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-21,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-22,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-23,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-24,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-25,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-26,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-27,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-28,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-29,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-30,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2025-12-31,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2026-1-1,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2026-1-2,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2026-1-3,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2026-1-4,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2026-1-5,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2026-1-6,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2026-1-7,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2026-1-8,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2026-1-9,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2026-1-10,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2026-1-11,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
2026-1-12,19225417,631635.8767967146,type3.1,"Asia,HK,HongKong"
